"","AUR","Price","AgeRating","Size","HasSubtitle","InAppSum","InAppMin","InAppMax","InAppCount","InAppAvg","descriptionTermCount","DevType","LanguagesCount","EngSupported","GenreCount","months","monthsSinceUpdate","GameFree","Ratings"
"6444",4.5,0,"9+",350908416,0,0,0,0,0,0,219,"Professional",1,"1",3,"7",51,"1","0"
"6445",4,0,"4+",149651456,0,2.99,2.99,2.99,1,2.99,29,"Newbie",1,"1",3,"7",51,"0","0"
"6446",4.5,0,"4+",242383872,0,105.94,0.99,49.99,6,17.6566666666667,300,"Newbie",1,"1",3,"11",37,"0","0"
"6447",4.5,0,"9+",746600448,0,290.9,0.99,99.99,10,29.09,197,"Newbie",4,"1",3,"11",4,"0","1"
"6448",0,0,"9+",62709760,0,19.99,19.99,19.99,1,19.99,63,"Professional",4,"1",2,"7",20,"0","-1"
"6449",0,0,"4+",25206784,0,2.99,2.99,2.99,1,2.99,94,"Professional",1,"1",3,"7",51,"0","-1"
"6450",4.5,0,"9+",66031616,0,10.96,0.99,5.99,4,2.74,462,"Professional",1,"1",3,"10",48,"0","0"
"6451",4.5,0,"4+",54816768,0,0,0,0,0,0,124,"Newbie",1,"1",2,"9",49,"1","1"
"6452",0,0.99,"4+",6455296,0,0,0,0,0,0,157,"Newbie",1,"1",2,"7",51,"1","-1"
"6453",5,3.99,"4+",107643904,0,0,0,0,0,0,329,"Newbie",3,"1",2,"7",41,"1","0"
"6454",0,0,"4+",67248128,0,0,0,0,0,0,130,"Newbie",1,"1",2,"7",49,"1","-1"
"6455",4.5,0,"4+",48992256,0,0.99,0.99,0.99,1,0.99,74,"Newbie",1,"1",3,"12",12,"0","0"
"6456",4.5,0,"4+",92693504,1,1.99,1.99,1.99,1,1.99,194,"Professional",1,"1",3,"7",28,"0","1"
"6457",0,0,"4+",34480128,0,2.99,2.99,2.99,1,2.99,89,"Professional",6,"1",2,"8",50,"0","-1"
"6458",0,0,"4+",96016384,0,0,0,0,0,0,42,"Newbie",1,"1",3,"11",25,"1","-1"
"6459",0,0,"4+",20541440,0,2.99,2.99,2.99,1,2.99,121,"Professional",1,"1",3,"10",48,"0","-1"
"6460",0,0,"9+",14405632,0,0,0,0,0,0,25,"Professional",1,"1",2,"8",50,"1","-1"
"6461",0,0,"4+",11293696,0,0.99,0.99,0.99,1,0.99,57,"Professional",3,"1",3,"7",42,"0","-1"
"6462",0,0,"4+",209170432,0,19.9,0.99,6.99,10,1.99,437,"Newbie",1,"1",2,"9",49,"0","-1"
"6463",4.5,0,"9+",104742912,0,21.9,0.99,4.99,10,2.19,166,"Newbie",1,"1",3,"8",43,"0","1"
"6464",0,0,"9+",55620608,0,40.94,0.99,19.99,6,6.82333333333333,107,"Professional",1,"1",3,"7",30,"0","-1"
"6465",0,0,"4+",12582912,0,0,0,0,0,0,129,"Newbie",1,"1",3,"9",47,"1","-1"
"6466",4.5,0,"4+",36438016,0,125.9,4.99,35.99,10,12.59,216,"Newbie",1,"1",2,"7",45,"0","0"
"6467",4.5,0,"9+",194427904,1,119.9,2.99,29.99,10,11.99,264,"Newbie",6,"1",3,"3",3,"0","1"
"6468",0,0,"4+",94512128,0,1.99,1.99,1.99,1,1.99,52,"Newbie",1,"1",3,"7",6,"0","-1"
"6469",5,0,"4+",68960256,0,0,0,0,0,0,118,"Newbie",1,"1",3,"4",24,"1","0"
"6470",0,0,"4+",12027904,0,0,0,0,0,0,10,"Newbie",1,"1",3,"3",31,"1","-1"
"6471",4.5,0.99,"9+",80318464,0,0,0,0,0,0,70,"Professional",1,"1",2,"9",49,"1","0"
"6472",0,0,"4+",40135680,1,0.99,0.99,0.99,1,0.99,176,"Professional",32,"1",3,"7",20,"0","-1"
"6473",0,0,"4+",26480640,0,3.98,0.99,2.99,2,1.99,202,"Professional",1,"1",2,"7",51,"0","-1"
"6474",0,0,"9+",5807104,0,0,0,0,0,0,17,"Newbie",1,"1",3,"7",31,"1","-1"
"6475",0,0,"9+",118792192,0,2.99,2.99,2.99,1,2.99,183,"Professional",1,"1",3,"7",50,"0","-1"
"6476",0,0,"4+",118816768,0,2.99,2.99,2.99,1,2.99,183,"Professional",1,"1",3,"7",51,"0","-1"
"6477",4.5,0,"4+",23486464,0,1.98,0.99,0.99,2,0.99,179,"Newbie",1,"1",3,"9",49,"0","0"
"6478",0,0,"4+",26718208,0,7.94,0.99,2.99,6,1.32333333333333,204,"Professional",1,"1",2,"7",51,"0","-1"
"6479",4.5,3.99,"9+",68304896,0,0,0,0,0,0,258,"Newbie",1,"1",2,"2",9,"1","1"
"6480",0,0,"4+",10960896,0,2.99,2.99,2.99,1,2.99,23,"Professional",1,"1",2,"7",51,"0","-1"
"6481",4.5,0,"4+",19936256,0,0,0,0,0,0,76,"Professional",16,"1",3,"7",10,"1","1"
"6482",0,0.99,"4+",2104320,0,0,0,0,0,0,74,"Newbie",1,"1",2,"7",12,"1","-1"
"6483",0,0,"4+",12255232,1,0.99,0.99,0.99,1,0.99,72,"Newbie",3,"1",2,"8",19,"0","-1"
"6484",0,0,"9+",10226688,0,0,0,0,0,0,43,"Newbie",1,"1",3,"8",47,"1","-1"
"6485",4,0,"4+",12101632,1,4.97,0.99,1.99,3,1.65666666666667,48,"Professional",1,"1",3,"7",13,"0","0"
"6486",0,0,"4+",24530944,0,0,0,0,0,0,49,"Professional",1,"1",3,"7",50,"1","-1"
"6487",0,0,"4+",57268224,0,0,0,0,0,0,84,"Professional",1,"1",2,"7",24,"1","-1"
"6488",0,0,"4+",21512192,0,2.99,2.99,2.99,1,2.99,108,"Professional",1,"1",3,"7",51,"0","-1"
"6489",0,0,"4+",16166912,0,15.94,0.99,3.99,6,2.65666666666667,115,"Professional",1,"1",3,"7",51,"0","-1"
